name,salary,season,team,shoots,height_cm,weight_kg
Alando Tucker,1071720,2010,Minnesota Timberwolves,Right,198.12,93.07
Alec Burks,2020200,2012,Utah Jazz,Right,198.12,88.53
Alec Burks,2171640,2013,Utah Jazz,Right,198.12,88.53
Alec Burks,2202000,2014,Utah Jazz,Right,198.12,88.53
Alec Burks,3034356,2015,Utah Jazz,Right,198.12,88.53
Alec Burks,9213484,2016,Utah Jazz,Right,198.12,88.53
Alec Burks,10154495,2017,Utah Jazz,Right,198.12,88.53
Alec Burks,10845506,2018,Utah Jazz,Right,198.12,88.53
Aleksandar Radojevic,1325760,2000,Toronto Raptors,Right,220.98,113.5
Aleksandar Radojevic,1425120,2001,Toronto Raptors,Right,220.98,113.5
Aleksandar Radojevic,1524600,2002,Milwaukee Bucks,Right,220.98,113.5
Aleksandar Radojevic,720046,2005,Utah Jazz,Right,220.98,113.5
Alex Acker,398762,2006,Detroit Pistons,Right,195.58,83.99
Alex Acker,839209,2007,Detroit Pistons,Right,195.58,83.99
Alex Acker,711517,2009,Los Angeles Clippers,Right,195.58,83.99
Alex Garcia,366931,2004,San Antonio Spurs,Left,190.5,99.88
Alex Garcia,620046,2005,New Orleans Hornets,Left,190.5,99.88
Alex Kirk,65000,2015,New York Knicks,Right,213.36,111.23
Alex Len,3492720,2014,Phoenix Suns,Right,215.9,115.77
Alex Len,3649920,2015,Phoenix Suns,Right,215.9,115.77
Alex Len,3807120,2016,Phoenix Suns,Right,215.9,115.77
Alex Len,4823621,2017,Phoenix Suns,Right,215.9,115.77
Alex Len,4187599,2018,Phoenix Suns,Right,215.9,115.77
Alexander Johnson,412718,2007,Memphis Grizzlies,Right,205.74,108.96
Alexander Johnson,687456,2008,Miami Heat,Right,205.74,108.96
Alexey Shved,2934610,2013,Minnesota Timberwolves,Right,198.12,86.26
Alexey Shved,3150000,2014,Minnesota Timberwolves,Right,198.12,86.26
Alexey Shved,3282056,2015,New York Knicks,Right,198.12,86.26
Alexis Ajinca,1276320,2009,Charlotte Bobcats,Right,213.36,99.88
Alexis Ajinca,1372080,2010,Charlotte Bobcats,Right,213.36,99.88
Alexis Ajinca,1467840,2011,Toronto Raptors,Right,213.36,99.88
Alexis Ajinca,981084,2015,New Orleans Pelicans,Right,213.36,99.88
Alexis Ajinca,4300000,2016,New Orleans Pelicans,Right,213.36,99.88
Alexis Ajinca,4600000,2017,New Orleans Pelicans,Right,213.36,99.88
Alexis Ajinca,4961798,2018,New Orleans Pelicans,Right,213.36,99.88
Allan Houston,8000000,2000,New York Knicks,Right,198.12,90.8
Allan Houston,9000000,2001,New York Knicks,Right,198.12,90.8
Allan Houston,12750000,2002,New York Knicks,Right,198.12,90.8
Allan Houston,14343750,2003,New York Knicks,Right,198.12,90.8
Allan Houston,15937500,2004,New York Knicks,Right,198.12,90.8
Allan Houston,17531250,2005,New York Knicks,Right,198.12,90.8
Allan Houston,19125000,2006,New York Knicks,Right,198.12,90.8
Allan Ray,412718,2007,Boston Celtics,Right,187.96,86.26
Allen Crabbe,862000,2015,Portland Trail Blazers,Right,198.12,95.34
Allen Crabbe,947276,2016,Portland Trail Blazers,Right,198.12,95.34
Allen Crabbe,18500000,2017,Portland Trail Blazers,Right,198.12,95.34
Allen Crabbe,19332500,2018,Brooklyn Nets,Right,198.12,95.34
Allen Iverson,9000000,2000,Philadelphia 76ers,Right,182.88,74.91
Allen Iverson,10130000,2001,Philadelphia 76ers,Right,182.88,74.91
Allen Iverson,11250000,2002,Philadelphia 76ers,Right,182.88,74.91
Allen Iverson,12375000,2003,Philadelphia 76ers,Right,182.88,74.91
Allen Iverson,13500000,2004,Philadelphia 76ers,Right,182.88,74.91
Allen Iverson,14625000,2005,Philadelphia 76ers,Right,182.88,74.91
Allen Iverson,16453125,2006,Philadelphia 76ers,Right,182.88,74.91
Allen Iverson,17184375,2007,Denver Nuggets,Right,182.88,74.91
Allen Iverson,19012500,2008,Denver Nuggets,Right,182.88,74.91
Allen Iverson,20840625,2009,Detroit Pistons,Right,182.88,74.91
Allen Iverson,1029794,2010,Philadelphia 76ers,Right,182.88,74.91
Allen Iverson,161386,2010,Memphis Grizzlies,Right,182.88,74.91
Alonzo Gee,479735,2011,Cleveland Cavaliers,Right,198.12,99.88
Alonzo Gee,125538,2011,Washington Wizards,Right,198.12,99.88
Alonzo Gee,76219,2011,San Antonio Spurs,Right,198.12,99.88
Alonzo Gee,854389,2012,Cleveland Cavaliers,Right,198.12,99.88
Alonzo Gee,3500000,2013,Cleveland Cavaliers,Right,198.12,99.88
Alonzo Gee,3250000,2014,Cleveland Cavaliers,Right,198.12,99.88
Alonzo Gee,1063384,2015,Portland Trail Blazers,Right,198.12,99.88
Alonzo Gee,1375000,2016,New Orleans Pelicans,Right,198.12,99.88
Alonzo Gee,1400000,2017,New Orleans Pelicans,Right,198.12,99.88
Alonzo Gee,495227,2017,Denver Nuggets,Right,198.12,99.88
Alonzo Mourning,15004800,2000,Miami Heat,Right,208.28,108.96
Alonzo Mourning,16880000,2001,Miami Heat,Right,208.28,108.96
Alonzo Mourning,18754800,2002,Miami Heat,Right,208.28,108.96
Alonzo Mourning,20629800,2003,Miami Heat,Right,208.28,108.96
Alonzo Mourning,4917000,2004,New Jersey Nets,Right,208.28,108.96
Alonzo Mourning,5408700,2005,Toronto Raptors,Right,208.28,108.96
Alonzo Mourning,4000000,2006,Toronto Raptors,Right,208.28,108.96
Alonzo Mourning,1138500,2006,Miami Heat,Right,208.28,108.96
Alonzo Mourning,4225433,2007,Toronto Raptors,Right,208.28,108.96
Alonzo Mourning,2500000,2007,Miami Heat,Right,208.28,108.96
Alonzo Mourning,2762500,2008,Miami Heat,Right,208.28,108.96
Alton Ford,332817,2002,Phoenix Suns,Right,205.74,124.85
Alton Ford,512435,2003,Phoenix Suns,Right,205.74,124.85
Alton Ford,586082,2004,Houston Rockets,Right,205.74,124.85
Alvin Jones,332817,2002,Philadelphia 76ers,Right,210.82,120.31
Alvin Williams,1925000,2000,Toronto Raptors,Right,195.58,83.99
Alvin Williams,2100000,2001,Toronto Raptors,Right,195.58,83.99
Alvin Williams,5350000,2002,Toronto Raptors,Right,195.58,83.99
Alvin Williams,5350000,2003,Toronto Raptors,Right,195.58,83.99
Alvin Williams,5500000,2004,Toronto Raptors,Right,195.58,83.99
Alvin Williams,5850000,2005,Toronto Raptors,Right,195.58,83.99
Alvin Williams,6300000,2006,Toronto Raptors,Right,195.58,83.99
Alvin Williams,4483516,2007,Toronto Raptors,Right,195.58,83.99
Alvin Williams,103992,2007,Los Angeles Clippers,Right,195.58,83.99
Alvin Williams,4516484,2008,Toronto Raptors,Right,195.58,83.99
Amal McCaskill,485000,2000,Miami Heat,Right,210.82,106.69
Amal McCaskill,465850,2002,San Antonio Spurs,Right,210.82,106.69
Amal McCaskill,699935,2003,Portland Trail Blazers,Right,210.82,106.69
Amal McCaskill,143277,2003,Atlanta Hawks,Right,210.82,106.69
Amal McCaskill,688679,2004,Philadelphia 76ers,Right,210.82,106.69
Amal McCaskill,932546,2005,Detroit Pistons,Right,210.82,106.69
Amar'e Stoudemire,1767120,2003,Phoenix Suns,Right,208.28,111.23
Amar'e Stoudemire,1899720,2004,Phoenix Suns,Right,208.28,111.23
Amar'e Stoudemire,2032200,2005,Phoenix Suns,Right,208.28,111.23
Amar'e Stoudemire,2589023,2006,Phoenix Suns,Right,208.28,111.23
Amar'e Stoudemire,12455000,2007,Phoenix Suns,Right,208.28,111.23
Amar'e Stoudemire,13762775,2008,Phoenix Suns,Right,208.28,111.23
Amar'e Stoudemire,15070550,2009,Phoenix Suns,Right,208.28,111.23
Amar'e Stoudemire,16378325,2010,Phoenix Suns,Right,208.28,111.23
Amar'e Stoudemire,16486611,2011,New York Knicks,Right,208.28,111.23
Amar'e Stoudemire,18217705,2012,New York Knicks,Right,208.28,111.23
Amar'e Stoudemire,19948799,2013,New York Knicks,Right,208.28,111.23
Amar'e Stoudemire,21679893,2014,New York Knicks,Right,208.28,111.23
Amar'e Stoudemire,23410988,2015,New York Knicks,Right,208.28,111.23
Amar'e Stoudemire,485670,2015,Dallas Mavericks,Right,208.28,111.23
Amar'e Stoudemire,1499187,2016,Miami Heat,Right,208.28,111.23
Amir Johnson,398762,2006,Detroit Pistons,Right,205.74,95.34
Amir Johnson,664209,2007,Detroit Pistons,Right,205.74,95.34
Amir Johnson,3666666,2008,Detroit Pistons,Right,205.74,95.34
Amir Johnson,3666667,2009,Detroit Pistons,Right,205.74,95.34
Amir Johnson,3666666,2010,Toronto Raptors,Right,205.74,95.34
Amir Johnson,5000000,2011,Toronto Raptors,Right,205.74,95.34
Amir Johnson,5500000,2012,Toronto Raptors,Right,205.74,95.34
Amir Johnson,6000000,2013,Toronto Raptors,Right,205.74,95.34
Amir Johnson,6500000,2014,Toronto Raptors,Right,205.74,95.34
Amir Johnson,7000000,2015,Toronto Raptors,Right,205.74,95.34
Amir Johnson,12000000,2016,Boston Celtics,Right,205.74,95.34
Amir Johnson,12000000,2017,Boston Celtics,Right,205.74,95.34
Amir Johnson,11000000,2018,Philadelphia 76ers,Right,205.74,95.34
Anderson Varejao,788000,2005,Cleveland Cavaliers,Right,208.28,104.42
Anderson Varejao,866800,2006,Cleveland Cavaliers,Right,208.28,104.42
Anderson Varejao,945600,2007,Cleveland Cavaliers,Right,208.28,104.42
Anderson Varejao,5356000,2008,Cleveland Cavaliers,Right,208.28,104.42
Anderson Varejao,5784480,2009,Cleveland Cavaliers,Right,208.28,104.42
Anderson Varejao,6300000,2010,Cleveland Cavaliers,Right,208.28,104.42
Anderson Varejao,7281818,2011,Cleveland Cavaliers,Right,208.28,104.42
Anderson Varejao,7700000,2012,Cleveland Cavaliers,Right,208.28,104.42
Anderson Varejao,8368182,2013,Cleveland Cavaliers,Right,208.28,104.42
Anderson Varejao,9036364,2014,Cleveland Cavaliers,Right,208.28,104.42
Anderson Varejao,9704595,2015,Cleveland Cavaliers,Right,208.28,104.42
Anderson Varejao,9638554,2016,Portland Trail Blazers,Right,208.28,104.42
Anderson Varejao,458575,2016,Golden State Warriors,Right,208.28,104.42
Anderson Varejao,1984005,2017,Portland Trail Blazers,Right,208.28,104.42
