name,shoots,height_cm,weight_kg
Demetris Nichols,Right,203.2,98.064
Deng Gai,Right,205.74,113.5
Dennis Horner,Right,205.74,104.42
Dennis Rodman,Right,200.66,95.34
Dennis Schroder,Right,185.42,76.272
Dennis Scott,Right,203.2,103.966
DeQuan Jones,Right,203.2,100.334
Derek Anderson,Right,195.58,88.076
Derek Fisher,Left,185.42,90.8
Derek Hood,Right,203.2,100.788
Derek Strong,Right,203.2,99.88
DerMarr Johnson,Right,205.74,91.254
Deron Williams,Right,190.5,95.34
Derrick Brown,Left,200.66,102.15
Derrick Byars,Right,200.66,99.88
Derrick Caracter,Right,205.74,124.85
Derrick Coleman,Left,208.28,104.42
Derrick Dial,Right,193.04,83.536
Derrick Favors,Right,208.28,111.684
Derrick McKey,Right,205.74,93.07
Derrick Rose,Right,190.5,86.26
Derrick Williams,Right,203.2,109.414
Derrick Zimmerman,Right,190.5,88.53
DeSagana Diop,Right,213.36,136.2
DeShawn Stevenson,Right,195.58,95.34
Desmon Farmer,Left,195.58,99.88
Desmond Ferguson,Right,200.66,92.162
Desmond Mason,Right,200.66,101.696
Desmond Penigar,Right,200.66,111.23
Detlef Schrempf,Right,205.74,97.156
Devean George,Right,203.2,99.88
Devin Booker,Right,198.12,93.524
Devin Brown,Right,195.58,99.88
Devin Ebanks,Right,205.74,97.61
Devin Gray,Left,200.66,108.96
Devin Green,Right,200.66,95.34
Devin Harris,Right,190.5,83.99
Devyn Marble,Right,198.12,90.8
Dewayne Dedmon,Right,213.36,115.77
Dexter Pittman,Right,210.82,139.832
Diante Garrett,Right,193.04,86.26
Dickey Simpkins,Right,205.74,112.592
Dijon Thompson,Right,200.66,88.53
Dikembe Mutombo,Right,218.44,111.23
Dion Glover,Right,195.58,103.512
Dion Waiters,Right,193.04,95.34
Dionte Christmas,Right,195.58,93.07
Dirk Nowitzki,Right,213.36,107.598
Dominic McGuire,Right,205.74,99.88
Dominique Jones,Right,193.04,97.61
Don MacLean,Right,208.28,106.69
Don Reid,Right,203.2,113.5
Donald Sloan,Right,190.5,93.07
Donatas Motiejunas,Left,213.36,100.788
Donell Taylor,Right,198.12,81.72
Donnell Harvey,Left,203.2,99.88
Donny Marshall,Right,200.66,104.42
Donta Smith,Right,200.66,97.61
Donte Greene,Right,210.82,102.604
Dontell Jefferson,Right,195.58,88.53
Donyell Marshall,Right,205.74,98.972
Dorell Wright,Right,200.66,90.8
Doron Lamb,Right,193.04,95.34
Doug Christie,Right,198.12,90.8
Doug McDermott,Right,203.2,102.15
Doug Overton,Right,190.5,86.26
