state,team,draft_year
Florida,Dallas Mavericks,2010
Georgetown University,Detroit Pistons,2010
"Michigan, Baylor University",Golden State Warriors,2010
Kentucky,Houston Rockets,2010
"California, California",Indiana Pacers,2010
Florida,Indiana Pacers,2010
Ohio,Indiana Pacers,2010
Oklahoma,Los Angeles Clippers,2010
Wake Forest University,Los Angeles Clippers,2010
"Kentucky, University of Texas at El Paso",Los Angeles Lakers,2010
West Virginia,Los Angeles Lakers,2010
Kansas,Memphis Grizzlies,2010
Maryland,Memphis Grizzlies,2010
Florida,Memphis Grizzlies,2010
Mississippi,Miami Heat,2010
Texas,Miami Heat,2010
University of New Mexico,Milwaukee Bucks,2010
University of Tulsa,Milwaukee Bucks,2010
Virginia Commonwealth University,Milwaukee Bucks,2010
Clemson University,Minnesota Timberwolves,2010
"Iowa, New York",Minnesota Timberwolves,2010
Rutgers University,Minnesota Timberwolves,2010
"Nevada, Reno",Minnesota Timberwolves,2010
Georgia Institute of Technology,New Jersey Nets,2010
"Indiana, Ohio",New Jersey Nets,2010
Kansas,New Orleans Hornets,2010
California,New York Knicks,2010
New York,New York Knicks,2010
Iowa,Oklahoma City Thunder,2010
Kentucky,Oklahoma City Thunder,2010
Washington,Oklahoma City Thunder,2010
Kentucky,Orlando Magic,2010
Ohio,Philadelphia 76ers,2010
Georgia Institute of Technology,Phoenix Suns,2010
"North Carolina, Tennessee",Portland Trail Blazers,2010
"Nevada, Reno",Portland Trail Blazers,2010
Marshall University,Sacramento Kings,2010
Kentucky,Sacramento Kings,2010
Oklahoma,San Antonio Spurs,2010
North Carolina,Toronto Raptors,2010
Butler University,Utah Jazz,2010
Western Kentucky University,Utah Jazz,2010
Marquette University,Washington Wizards,2010
Kentucky,Washington Wizards,2010
Oakland University,Atlanta Hawks,2011
Providence College,Boston Celtics,2011
Indiana,Boston Celtics,2011
Connecticut,Charlotte Bobcats,2011
Tennessee,Charlotte Bobcats,2011
Cleveland State University,Chicago Bulls,2011
Marquette University,Chicago Bulls,2011
"California, Los Angeles",Chicago Bulls,2011
North Carolina,Cleveland Cavaliers,2011
University of Richmond,Cleveland Cavaliers,2011
Texas,Cleveland Cavaliers,2011
Texas,Dallas Mavericks,2011
Morehead State University,Denver Nuggets,2011
North Carolina,Detroit Pistons,2011
"Georgetown University, Florida",Detroit Pistons,2011
Kentucky,Detroit Pistons,2011
Hofstra University,Golden State Warriors,2011
Washington State University,Golden State Warriors,2011
Florida,Houston Rockets,2011
Kansas,Houston Rockets,2011
San Diego State University,Indiana Pacers,2011
University of Georgia,Los Angeles Clippers,2011
University of Georgia,Los Angeles Clippers,2011
College of Charleston,Los Angeles Lakers,2011
Michigan,Los Angeles Lakers,2011
Kansas,Memphis Grizzlies,2011
Brigham Young University,Milwaukee Bucks,2011
Wisconsin,Milwaukee Bucks,2011
Arizona,Minnesota Timberwolves,2011
Indiana,New Jersey Nets,2011
Maryland,New Jersey Nets,2011
Kentucky,New Orleans Hornets,2011
Georgia Institute of Technology,New York Knicks,2011
Boston College,Oklahoma City Thunder,2011
Kentucky,Orlando Magic,2011
Temple University,Philadelphia 76ers,2011
California,Philadelphia 76ers,2011
Kansas,Phoenix Suns,2011
North Carolina,Portland Trail Blazers,2011
"California, Los Angeles",Sacramento Kings,2011
Washington,Sacramento Kings,2011
Texas,San Antonio Spurs,2011
Colorado,Utah Jazz,2011
Butler University,Washington Wizards,2011
Florida,Washington Wizards,2011
University of Virginia,Atlanta Hawks,2012
Tennessee,Atlanta Hawks,2012
Ohio,Boston Celtics,2012
New York,Boston Celtics,2012
New York,Boston Celtics,2012
Kentucky,Charlotte Bobcats,2012
Tennessee,Charlotte Bobcats,2012
Kentucky,Chicago Bulls,2012
Florida,Cleveland Cavaliers,2012
Marquette University,Cleveland Cavaliers,2012
Oregon State University,Cleveland Cavaliers,2012
New York,Cleveland Cavaliers,2012
Marquette University,Dallas Mavericks,2012
North Carolina,Dallas Mavericks,2012
Baylor University,Denver Nuggets,2012
Texas A&M University,Detroit Pistons,2012
Connecticut,Detroit Pistons,2012
University of Missouri,Detroit Pistons,2012
Michigan,Golden State Warriors,2012
North Carolina,Golden State Warriors,2012
Tennessee,Golden State Warriors,2012
Iowa,Houston Rockets,2012
Connecticut,Houston Rockets,2012
Kentucky,Houston Rockets,2012
North Carolina,Indiana Pacers,2012
Washington,Los Angeles Lakers,2012
Washington,Memphis Grizzlies,2012
"University of Texas at El Paso, Mississippi",Miami Heat,2012
Kentucky,Milwaukee Bucks,2012
North Carolina,Milwaukee Bucks,2012
Indiana,Minnesota Timberwolves,2012
North Carolina,New Orleans Hornets,2012
Kentucky,New Orleans Hornets,2012
Kentucky,New Orleans Hornets,2012
Baylor University,Oklahoma City Thunder,2012
Norfolk State University,Orlando Magic,2012
St. Bonaventure University,Orlando Magic,2012
"Iowa, Louisiana",Philadelphia 76ers,2012
St. John's University,Philadelphia 76ers,2012
North Carolina,Phoenix Suns,2012
Illinois,Portland Trail Blazers,2012
Kansas,Portland Trail Blazers,2012
Tennessee,Portland Trail Blazers,2012
New York,Portland Trail Blazers,2012
"Loyola Marymount University, California, Santa Barbara",Sacramento Kings,2012
Kansas,Sacramento Kings,2012
Baylor University,Toronto Raptors,2012
Washington,Toronto Raptors,2012
Tennessee Technological University,Utah Jazz,2012
Florida,Washington Wizards,2012
"California, Long Beach",Atlanta Hawks,2013
Florida,Atlanta Hawks,2013
North Carolina,Brooklyn Nets,2013
Indiana,Charlotte Bobcats,2013
Florida,Chicago Bulls,2013
University of New Mexico,Chicago Bulls,2013
Arizona,Cleveland Cavaliers,2013
California,Cleveland Cavaliers,2013
"Nevada, Las Vegas",Cleveland Cavaliers,2013
Bucknell University,Dallas Mavericks,2013
Washington,Dallas Mavericks,2013
University of Georgia,Detroit Pistons,2013
Kentucky,Detroit Pistons,2013
Texas,Detroit Pistons,2013
Murray State University,Houston Rockets,2013
Arizona,Indiana Pacers,2013
North Carolina,Los Angeles Clippers,2013
North Carolina,Los Angeles Lakers,2013
San Diego State University,Memphis Grizzlies,2013
North Carolina,Minnesota Timberwolves,2013
Colorado,Minnesota Timberwolves,2013
Michigan,Minnesota Timberwolves,2013
Kentucky,New Orleans Hornets,2013
Michigan,New York Knicks,2013
Kentucky,Oklahoma City Thunder,2013
Pennsylvania,Oklahoma City Thunder,2013
Indiana,Orlando Magic,2013
Baylor University,Philadelphia 76ers,2013
Georgia Institute of Technology,Philadelphia 76ers,2013
New York,Philadelphia 76ers,2013
Maryland,Phoenix Suns,2013
Lehigh University,Portland Trail Blazers,2013
Arizona,Portland Trail Blazers,2013
Kansas,Portland Trail Blazers,2013
University of Detroit Mercy,Sacramento Kings,2013
Kansas,Sacramento Kings,2013
"California, Los Angeles",Utah Jazz,2013
Kentucky,Utah Jazz,2013
Virginia Polytechnic Institute and State University,Utah Jazz,2013
Georgetown University,Washington Wizards,2013
South Dakota State University,Washington Wizards,2013
Michigan,Atlanta Hawks,2014
Oklahoma,Boston Celtics,2014
Kentucky,Boston Celtics,2014
Indiana,Charlotte Hornets,2014
California,Charlotte Hornets,2014
Connecticut,Charlotte Hornets,2014
Michigan,Chicago Bulls,2014
University of New Mexico,Chicago Bulls,2014
Kansas,Cleveland Cavaliers,2014
