name,salary,season,team,shoots,height_cm,weight_kg,age,games_played,mins_played,pts,ppm,ppg
Aaron Gray,427163,2008,Chicago Bulls,Right,213.36,122.58,23,61,613,262,0.42741,4.29508
Aaron Gray,711517,2009,Chicago Bulls,Right,213.36,122.58,24,56,715,196,0.27413,3.5
Aaron Gray,1000497,2010,TOT,Right,213.36,122.58,25,32,311,104,0.33441,3.25
Aaron Gray,1000497,2010,Chicago Bulls,Right,213.36,122.58,25,8,50,18,0.36,2.25
Aaron Gray,1000497,2010,New Orleans Pelicans,Right,213.36,122.58,25,24,261,86,0.3295,3.58333
Aaron Gray,1028840,2011,New Orleans Pelicans,Right,213.36,122.58,26,41,531,129,0.24294,3.14634
Aaron Gray,2500000,2012,Toronto Raptors,Right,213.36,122.58,27,49,813,191,0.23493,3.89796
Aaron Gray,2575000,2013,Toronto Raptors,Right,213.36,122.58,28,42,513,119,0.23197,2.83333
Aaron Gray,2690875,2014,TOT,Right,213.36,122.58,29,37,355,65,0.1831,1.75676
Aaron Gray,2690875,2014,Toronto Raptors,Right,213.36,122.58,29,4,20,5,0.25,1.25
Aaron Gray,2690875,2014,Sacramento Kings,Right,213.36,122.58,29,33,335,60,0.1791,1.81818
Aaron McKie,1624000,2000,Philadelphia 76ers,Right,195.58,94.886,27,82,1952,653,0.33453,7.96341
Aaron McKie,1818000,2001,Philadelphia 76ers,Right,195.58,94.886,28,76,2394,878,0.36675,11.55263
Aaron McKie,4000000,2002,Philadelphia 76ers,Right,195.58,94.886,29,48,1471,587,0.39905,12.22917
Aaron McKie,4500000,2003,Philadelphia 76ers,Right,195.58,94.886,30,80,2374,721,0.30371,9.0125
Aaron McKie,5000000,2004,Philadelphia 76ers,Right,195.58,94.886,31,75,2112,689,0.32623,9.18667
Aaron McKie,5500000,2005,Philadelphia 76ers,Right,195.58,94.886,32,68,1118,152,0.13596,2.23529
Aaron McKie,6000000,2006,Los Angeles Lakers,Right,195.58,94.886,33,14,121,7,0.05785,0.5
Aaron McKie,5570874,2007,Los Angeles Lakers,Right,195.58,94.886,34,10,131,22,0.16794,2.2
Aaron Miles,155614,2006,Golden State Warriors,Right,185.42,79.45,22,19,118,16,0.13559,0.84211
Aaron Williams,1100000,2000,Washington Wizards,Left,205.74,99.88,28,81,1545,616,0.39871,7.60494
Aaron Williams,2250000,2001,Brooklyn Nets,Left,205.74,99.88,29,82,2336,838,0.35873,10.21951
Aaron Williams,2475000,2002,Brooklyn Nets,Left,205.74,99.88,30,82,1546,592,0.38292,7.21951
Aaron Williams,2700000,2003,Brooklyn Nets,Left,205.74,99.88,31,81,1597,500,0.31309,6.17284
Aaron Williams,2925000,2004,Brooklyn Nets,Left,205.74,99.88,32,72,1337,450,0.33657,6.25
Aaron Williams,3790257,2005,TOT,Left,205.74,99.88,33,42,315,73,0.23175,1.7381
Aaron Williams,3790257,2005,Brooklyn Nets,Left,205.74,99.88,33,19,150,37,0.24667,1.94737
Aaron Williams,3790257,2005,Toronto Raptors,Left,205.74,99.88,33,23,165,36,0.21818,1.56522
Aaron Williams,3375000,2006,TOT,Left,205.74,99.88,34,48,791,222,0.28066,4.625
